"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_42715334","1920 NW 31st Ter, Gainesville, FL",2016-11-15,578000,5,3,4046
"zpid_42716327","538 NW 35th St, Gainesville, FL",2016-11-15,101500,2,1,1032
"zpid_42714285","1601 NW 39th Dr, Gainesville, FL",2016-11-15,160750,3,2,1552
"zpid_42717574","620 SW 86th Ter, Gainesville, FL",2016-11-15,260000,3,2,2119
"zpid_42716789","3841 SW 2nd Ave, Gainesville, FL",2016-11-14,228000,4,2,2368
"zpid_42718730","7727 SW 11th Ave, Gainesville, FL",2016-11-14,146000,3,2,1300
"zpid_42729176","934 NW 34th Ave, Gainesville, FL",2016-11-14,119000,3,2,1422
"zpid_42714182","3927 NW 18th Pl, Gainesville, FL",2016-11-14,90000,3,2,1358
"zpid_42710899","4627 NW 32nd Ave, Gainesville, FL",2016-11-14,175000,3,2,1392
"zpid_70606326","5128 NW 80th Rd, Gainesville, FL",2016-11-14,140000,2,2,1207
"zpid_42708048","3910 NW 23rd Ter, Gainesville, FL",2016-11-14,188500,3,2,1457
"zpid_42731238","1104 NW 12th Ave, Gainesville, FL",2016-11-14,103000,3,1,1122
"zpid_42727524","1938 NW 40th Pl, Gainesville, FL",2016-11-10,76500,3,2,1202
"zpid_42705671","6424 NW 85th Ter, Gainesville, FL",2016-11-10,440000,4,2.5,2665
"zpid_42697849","1728 NW 117th Ter, Gainesville, FL",2016-11-09,235000,3,2,1846
"zpid_42720519","5409 SW 79th Ter, Gainesville, FL",2016-11-09,140500,3,2,1158
"zpid_42709019","2521 NW 28th Pl, Gainesville, FL",2016-11-09,250500,4,2.5,2272
"zpid_42724931","4031 SW 28th Ter, Gainesville, FL",2016-11-09,122500,2,2,1400
"zpid_42697657","10912 NW 14th Ave, Gainesville, FL",2016-11-09,535000,5,5,5372
"zpid_42729069","619 NW 34th Pl, Gainesville, FL",2016-11-09,60000,3,1,1082
"zpid_54478311","5840 SW 85th St, Gainesville, FL",2016-11-09,192900,3,2,1532
"zpid_42719209","2049 SW 72nd St, Gainesville, FL",2016-11-09,130000,3,2,1158
"zpid_42711742","3549 NW 87th Ter, Gainesville, FL",2016-11-09,130000,3,2,1360
"zpid_2096391008","1165 136th, Newberry, FL",2016-11-08,394425,4,4,2793
"zpid_118487683","10068 NW 16th Rd, Gainesville, FL",2016-11-08,270000,4,3,1873
"zpid_42714688","801 NW 37th Ter, Gainesville, FL",2016-11-08,924000,2,2,2498
"zpid_42717750","8223 SW 1st Pl, Gainesville, FL",2016-11-08,290000,4,2,2605
"zpid_42706324","4328 NW 70th Ter, Gainesville, FL",2016-11-08,209900,3,2,1824
"zpid_103023662","4915 NW 81st Ave, Gainesville, FL",2016-11-07,187000,3,2,1556
"zpid_42714615","1114 NW 34th St, Gainesville, FL",2016-11-07,99000,3,2,1653
"zpid_42730021","2139 NW 29th Pl, Gainesville, FL",2016-11-07,155000,3,3,1728
"zpid_42727327","3901 NW 21st Ter, Gainesville, FL",2016-11-04,35000,3,2,1274
"zpid_42722286","3935 SW 95th Ter, Gainesville, FL",2017-04-17,462000,5,4,3706
"zpid_66691255","7971 NW 47th Way, Gainesville, FL",2017-04-14,165000,3,2,1545
"zpid_66691495","2120 NW 50th Pl, Gainesville, FL",2017-04-14,190000,3,2,1405
"zpid_42713303","1123 NW 58th Ter, Gainesville, FL",2017-04-14,334000,4,3,2531
"zpid_66691412","1958 NW 85th Ter, Gainesville, FL",2017-04-13,199000,3,2,1602
"zpid_66695769","3901 SW 20th Ave APT 405, Gainesville, FL",2017-04-13,96100,2,3,1176
"zpid_42701974","8620 NW 13th St LOT 9, Gainesville, FL",2017-04-13,129900,2,2,1056
"zpid_42713748","4321 NW 13th Ave, Gainesville, FL",2017-04-12,160000,4,2,2103
"zpid_42708329","3919 NW 32nd St, Gainesville, FL",2017-04-11,125000,3,2,1460
"zpid_42722166","10242 SW 52nd Ave, Gainesville, FL",2017-04-10,280000,3,3,2238
"zpid_42727178","4221 NW 22nd Ter, Gainesville, FL",2017-04-10,90000,3,2,1040
"zpid_42708185","5004 NW 27th Dr, Gainesville, FL",2017-04-07,168000,3,2,1264
"zpid_42697753","11625 NW 9th Ln, Gainesville, FL",2017-04-07,245000,4,2,2888
"zpid_42728949","210 NW 33rd Ave, Gainesville, FL",2017-04-06,110000,3,2,1133
"zpid_42712227","2602 NW 104th Ct, Gainesville, FL",2017-04-05,180000,3,2,1270
"zpid_42714434","4004 NW 14th Pl, Gainesville, FL",2017-04-05,124500,3,2,1342
"zpid_42710690","5119 NW 33rd Pl, Gainesville, FL",2017-04-05,78000,2,1,818
"zpid_42716403","610 NW 36th Ter, Gainesville, FL",2017-04-05,175000,4,3,2032
"zpid_42715491","3121 NW 10th Pl, Gainesville, FL",2017-04-05,288500,3,2,2200
"zpid_103019327","10304 SW 39th Pl, Gainesville, FL",2017-04-05,675000,4,3,3013
"zpid_42735959","720 NW 3rd St, Gainesville, FL",2017-04-05,38000,2,1,968
"zpid_42702807","5015 NW 71st Pl, Gainesville, FL",2017-04-05,339900,5,3,2864
"zpid_42729679","1639 NW 35th Pl, Gainesville, FL",2017-04-04,140000,3,2,1720
"zpid_66689889","9261 SW 30th Ln, Gainesville, FL",2017-04-04,548000,5,4,3062
"zpid_103027682","4016 SW 106th St, Gainesville, FL",2017-04-04,640000,4,3,2996
"zpid_42721900","9919 SW 42nd Rd, Gainesville, FL",2017-04-04,226000,5,2,1917
"zpid_42709328","3315 NW 29th Ter, Gainesville, FL",2017-04-04,260000,3,2,1917
"zpid_70606324","5148 NW 80th Rd, Gainesville, FL",2017-04-04,175000,3,2,1545
"zpid_42702848","6904 NW 50th Ter, Gainesville, FL",2017-04-04,287500,3,2,2092
"zpid_42709541","2905 NW 31st Ter, Gainesville, FL",2017-04-04,108500,4,2,1901
"zpid_42706115","6126 NW 44th Pl, Gainesville, FL",2017-04-04,76400,3,2,1208
"zpid_42736862","2522 SW 9th Dr, Gainesville, FL",2017-04-04,278200,4,3,3658
"zpid_87628252","14155 NW 30th Ave, Gainesville, FL",2017-04-04,237600,4,3,2413
"zpid_42697733","936 NW 120th St, Gainesville, FL",2017-04-03,195300,3,2,1652
"zpid_42703525","2819 NW 55th Blvd, Gainesville, FL",2017-04-03,135500,3,2,1302
